"ProductGroup_ID","Description","SortNumber"
95,"VOORGERECHTEN",1
96,"SALADES",2
97,"PASTA",3
99,"HOOFDGERECHTEN",5
101,"VISGERECHTEN",7
102,"NAGERECHTEN",8
103,"KOFFIE",9
104,"SHISHA-HOOKAH",9
105,"FRIESDRANK",10
107,"ONTBIJT",13
108,"SNACKS",14
113,"BIER",11
114,"COCKTAILS",16
115,"WIJN",17
116,"SAUZEN",17
117,"LONG DRINKS",20
119,"LEIDSE SPECIALITET",6
120,"LEIDSE KNALLERS",120
121,"SIMPLY FRUIT",125
122,"PIZZA",4
123,"COCA COLA",0
124,"SPRITE",0
125,"IJSTHEE",0
126,"WHISKEY",0
127,"RUM",0
128,"COGNAC",0
129,"WODKA",0
130,"PISANG AMBON",0
131,"CAMPARI",0
132,"SAMBUCA",0
133,"UITSMIJTERS",0
134,"OMELET",0
135,"TOSTIES",0
136,"BOEREN  BROOD",0
137,"FANTA",0
138,"COCA LIGHT",0
139,"BOLOGNEZE",0
140,"CARBONARA",0
141,"OCEANS",0
142,"VEGETARISH",0
143,"WAFELS",0
144,"MILKSHAKES",0
145,"PANNEKOEKEN",0
146,"FANTA LEMON",0
147,"DUTCH DRINKS",0
148,"BELEGDE BROODJES",0
149,"WIT",0
150,"ROZE",0
151,"ROOD",0
152,"WHISKEY COLA",0
153,"PANNENKOEKEN",0
154,"WIENERSCHNITSEL",0
155,"DUTCH STEAK  [Rib eye]",0
156,"OINOUSIA",0
157,"NECTARI",0
158,"MILKSHAKES",0
